id,title,description
1,Spaghetti Carbonara,"Classic Roman pasta dish with eggs, Pecorino Romano cheese, cured pork (guanciale), and black pepper."
2,Chicken Tikka Masala,"Creamy, mildly spiced curry dish featuring marinated grilled chicken chunks (tikka) in a rich tomato-based sauce."
3,Caesar Salad,"Green salad of romaine lettuce and croutons dressed with lemon juice, olive oil, egg, Worcestershire sauce, anchovies, garlic, Dijon mustard, Parmesan cheese, and black pepper."
4,Margherita Pizza,"Traditional Neapolitan pizza made with San Marzano tomatoes, fresh mozzarella cheese, fresh basil, salt, and extra-virgin olive oil."
5,Beef Bourguignon,"French stew prepared with beef braised in red wine, often flavored with carrots, onions, garlic, and a bouquet garni, and garnished with pearl onions, mushrooms, and bacon."
6,Pad Thai,"Stir-fried rice noodle dish commonly served as street food in Thailand, typically made with rice noodles, shrimp or chicken, tofu, peanuts, scrambled egg, and bean sprouts."
7,Chocolate Lava Cake,"Individual chocolate cake with a molten chocolate center, often served warm with whipped cream or ice cream."
8,Sushi Platter,"Assortment of Japanese cuisine consisting of cooked vinegared rice combined with other ingredients, usually seafood, vegetables, and occasionally tropical fruits."
9,Classic Cheeseburger,"A hamburger topped with cheese, typically served on a sliced bun with condiments like lettuce, tomato, onion, pickles, mustard, mayonnaise, or ketchup."
10,Vegetable Stir-Fry,"Quickly cooked mix of fresh vegetables like broccoli, carrots, bell peppers, and snow peas stir-fried in a wok or frying pan with soy sauce and ginger."
11,Miso Soup,"Traditional Japanese soup consisting of a stock called 'dashi' into which softened miso paste is mixed. Tofu and seaweed are common additions."
12,Fish and Chips,"Popular British takeaway food consisting of deep-fried battered fish served with deep-fried potato slices (chips)."
13,Tacos al Pastor,"Mexican dish of spit-grilled pork, marinated in a blend of chilies and spices, served on small corn tortillas with pineapple, onions, and cilantro."
14,French Onion Soup,"Hearty soup made with beef broth and caramelized onions, typically served gratinéed with croutons and cheese on top."
15,Hummus with Pita Bread,"Middle Eastern dip made from cooked, mashed chickpeas blended with tahini, lemon juice, and garlic, served with warm pita bread."
16,Chicken Wings (Buffalo Style),"Deep-fried chicken wing sections generally served unbreaded, coated in a vinegar-based cayenne pepper hot sauce and melted butter."
17,Peking Duck,"Famous duck dish from Beijing that has been prepared since the imperial era. The meat is characterized by its thin, crisp skin."
18,Greek Salad (Horiatiki),"Salad made with tomatoes, cucumbers, onion, feta cheese, and olives, typically seasoned with salt and oregano and dressed with olive oil."
19,Falafel Wrap,"Deep-fried balls or patties made from ground chickpeas or fava beans, served in a pita or flatbread wrap with salad and tahini sauce."
20,Ramen Noodle Soup,"Japanese noodle soup, with a combination of a rich flavored broth, one of a variety of noodles and a selection of meats or vegetables, often topped with a boiled egg."
21,Lasagna Bolognese,"Italian baked dish made with wide flat pasta layered with ragù (meat sauce), béchamel sauce, and cheese."
22,Pho Bo (Beef Noodle Soup),"Vietnamese soup consisting of broth, rice noodles, herbs, and meat (usually beef), popular street food."
23,Apple Pie,"Fruit pie in which the principal filling ingredient is apples, often served with whipped cream, ice cream ('apple pie à la mode'), or cheddar cheese."
24,Gyoza (Japanese Dumplings),"Pan-fried Japanese dumplings, typically filled with ground meat and vegetables and wrapped in a thin dough."
25,Chicken Parmesan,"Breaded chicken breast covered in tomato sauce and mozzarella, Parmesan, or provolone cheese."
26,Shepherd's Pie,"Meat pie with a crust or topping of mashed potato, traditionally made with minced lamb."
27,Clam Chowder (New England Style),"Cream-based chowder containing clams, potatoes, onions, and sometimes salt pork or bacon."
28,Shrimp Scampi,"Italian-American dish of shrimp sautéed in garlic, butter, white wine, and lemon juice, often served over pasta."
29,Bibimbap,"Korean rice dish topped with assorted seasoned vegetables, gochujang (chili pepper paste), a fried egg, and sliced meat (usually beef)."
30,Caprese Salad,"Simple Italian salad, made of sliced fresh mozzarella, tomatoes, and sweet basil, seasoned with salt and olive oil."
31,Beef Wellington,"Fillet steak coated with pâté and duxelles (finely chopped mushrooms), wrapped in puff pastry, then baked."
32,Croissant,"Buttery, flaky, viennoiserie pastry of Austrian origin, named for its historical crescent shape."
33,Ceviche,"South American dish of fresh raw fish cured in fresh citrus juices, most commonly lime or lemon, and spiced with ají, chili peppers or other seasonings."
34,Tom Yum Soup,"Hot and sour Thai soup, usually cooked with shrimp (Tom Yum Goong), lemongrass, kaffir lime leaves, galangal, lime juice, fish sauce, and crushed chili peppers."
35,Paella Valenciana,"Spanish rice dish originally from Valencia, typically made with rice, saffron, chicken, rabbit, green beans, butter beans, and snails."
36,Eggs Benedict,"American breakfast dish consisting of two halves of an English muffin topped with Canadian bacon, a poached egg, and hollandaise sauce."
37,Biryani (Chicken or Lamb),"South Asian mixed rice dish made with spices, rice, and meat (chicken, lamb) or vegetables."
38,Ratatouille,"French Provençal stewed vegetable dish, originating in Nice, primarily consisting of tomatoes, zucchini, eggplant, bell peppers, and onion."
39,Tiramisu,"Coffee-flavoured Italian dessert made of ladyfingers dipped in coffee, layered with a whipped mixture of eggs, sugar, and mascarpone cheese, flavoured with cocoa."
40,Chili Con Carne,"Spicy stew containing chili peppers, meat (usually beef), tomatoes, and often kidney beans or pinto beans."
41,Kimchi Jjigae,"Spicy Korean stew made with kimchi, tofu, pork or seafood, and vegetables."
42,Samosa,"Fried or baked pastry with a savoury filling, such as spiced potatoes, onions, peas, or minced meat, popular in South Asia."
43,Moules Frites,"Belgian dish of mussels cooked typically with white wine and onions, served with French fries."
44,Jambalaya,"Louisiana Creole dish of Spanish and French influence, consisting mainly of meat and vegetables mixed with rice."
45,Baklava,"Rich, sweet dessert pastry made of layers of filo filled with chopped nuts and sweetened and held together with syrup or honey."
46,Cornbread,"Quick bread made with cornmeal, associated with the cuisine of the Southern United States."
47,Gazpacho,"Cold Spanish soup made of raw, blended vegetables, typically tomatoes, cucumbers, peppers, onions, and garlic."
48,Bruschetta,"Italian antipasto consisting of grilled bread rubbed with garlic and topped with olive oil, salt and pepper. Variations include toppings of tomato, vegetables, beans, cured meat, or cheese."
49,Chicken Caesar Wrap,"A wrap sandwich containing the ingredients of a Caesar salad: romaine lettuce, grilled chicken, croutons, Parmesan cheese, and Caesar dressing."
50,Pulled Pork Sandwich,"Sandwich made with slow-cooked pork shoulder shredded ('pulled') and mixed with barbecue sauce, served on a bun."